length_url,length_hostname,ip,nb_hyphens,nb_dots,nb_at,nb_and,nb_underscore,nb_percent,nb_slash,nb_colon,nb_comma,port,tld_in_path,tld_in_subdomain,shortening_service,path_extension,nb_redirection,nb_external_redirection,login_form,iframe,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,dns_record,status,has_https
60,35,0,1,5,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,228,5615,0,1,0
74,19,0,0,3,0,0,3,0,10,1,0,0,0,0,0,0,1,0,0,0,1,0,1630,9327,0,0,0
61,18,0,3,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,92,3561,0,0,0
40,32,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,230,5614,0,1,1
52,24,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,148,5408,0,1,0
88,24,0,1,7,1,0,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,2976,8346,0,1,1
74,12,0,0,2,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,3253,5877,0,0,0
46,16,0,1,2,0,0,1,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,288,2633,0,0,0
54,17,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,792,6512,0,0,0
54,21,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0
38,16,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,901,7134,0,0,1
67,15,0,3,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,102,9394,0,0,0
62,13,0,1,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5044,0,1,0
59,17,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1078,2573,0,1,0
57,38,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,944,1246,0,1,1
32,12,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,50,2872,0,0,0
46,25,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,212,4537,0,1,0
37,16,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,902,7133,0,0,1
36,29,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,374,7295,0,1,0
52,18,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,123,973,0,1,0
32,24,1,0,2,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,374,7296,0,1,0
34,11,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,179,7491,0,0,1
27,19,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,413,-1,0,0,0
92,22,1,1,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0
102,12,0,7,2,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,323,8442,0,0,0
32,23,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2470,2277,0,0,1
29,20,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,27,1800,0,0,1
119,24,0,1,4,0,0,2,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,1011,-1,0,1,0
59,21,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,65,3952,0,0,1
54,19,0,2,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,258,4855,0,0,0
151,10,1,1,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,201,166,0,1,0
84,25,0,5,3,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,654,4093,0,0,0
55,10,0,1,3,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,1,1,0,-1,0,1,0
18,9,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,1
39,16,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2808,8516,0,0,1
28,19,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,347,7689,0,0,1
32,16,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,295,5913,0,0,0
16,9,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0
23,12,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,241,4141,0,1,0
29,21,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,85,4664,0,0,0
29,20,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,49,317,0,1,1
41,15,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,4566,0,0,1
22,6,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,1
52,14,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,438,657,0,1,0
38,20,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0
30,21,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,1,1,0,-1,0,0,1
76,50,1,1,4,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,25,3993,0,1,0
430,13,1,0,24,1,9,18,0,21,5,0,0,1,1,0,0,1,1,1,0,1,1,0,-1,1,1,0
37,19,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,291,4823,0,0,0
73,23,0,5,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,277,11046,0,0,0
56,15,0,0,2,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,347,2939,0,1,0
70,13,0,7,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2825,3385,0,0,1
70,20,0,0,3,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,517,7802,0,1,0
52,19,0,1,2,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,1,0,120,-1,0,0,0
31,22,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,113,5366,0,0,1
90,19,1,0,4,0,0,0,0,6,1,0,0,1,0,1,0,1,0,0,0,1,0,79,2112,0,1,1
45,15,1,0,3,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,1,0,150,7156,0,0,0
55,20,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1164,7602,0,0,0
65,12,0,2,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,230,135,0,1,0
41,33,0,1,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,1,0,644,1546,0,1,0
71,25,1,1,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,358,7,0,1,1
83,16,0,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2973,8348,0,1,1
73,18,1,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,321,-1,0,1,0
44,30,0,2,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,182,184,0,1,0
114,16,0,1,4,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,154,2403,0,1,0
127,50,1,1,4,0,2,2,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,25,3992,0,1,1
99,20,0,0,4,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,112,254,0,1,0
56,20,0,1,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,169,6041,0,1,0
51,17,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,0,1847,7284,0,0,1
51,14,0,0,5,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,1,0
40,24,0,1,2,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,1
33,14,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5111,0,1,0
88,20,0,5,2,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,2202,8024,0,0,1
122,18,0,0,2,0,0,13,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,946,5993,0,0,1
53,20,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,237,2684,0,0,0
46,37,0,1,6,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,725,0,1,1
36,29,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,374,7295,0,1,0
31,23,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,264,3754,0,0,0
48,16,0,2,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,827,5381,0,0,1
101,6,0,0,2,0,2,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,275,3743,0,1,1
41,19,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,62,5416,0,0,0
43,35,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,290,1901,0,1,0
15,8,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,81,3937,0,0,0
42,10,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1001,6668,0,0,0
51,15,0,3,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,3621,4413,0,0,0
48,27,0,3,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,361,3983,0,1,0
49,19,0,0,1,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,304,7732,0,0,0
25,13,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,275,2647,0,1,1
49,15,0,2,2,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,1,0,59,9285,0,0,1
48,25,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,353,8047,0,0,0
108,25,0,1,4,1,0,0,1,6,1,0,0,1,0,0,0,1,0,0,0,0,0,200,531,0,1,0
39,20,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,1,0
80,20,0,3,4,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,1,0,145,5334,0,0,0
36,17,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,69,7602,0,0,0
28,19,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,161,6460,0,0,1
33,14,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2430,1953,0,1,1
23,14,0,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1156,-1,0,0,1
77,18,0,5,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,984,5224,0,0,1
342,19,1,6,5,1,5,0,8,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1
38,29,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,177,189,0,1,1
73,22,0,5,2,0,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,1,0,7,6203,0,0,0
33,15,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,204,5639,0,0,1
67,17,0,1,3,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,42,1785,0,1,0
39,18,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,873,6431,0,0,1
24,15,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,302,2254,0,0,1
26,17,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1
39,7,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,245,9253,0,0,1
62,22,1,1,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,18,5825,0,1,0
41,13,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,292,1899,0,1,0
40,31,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,374,7295,0,1,1
51,26,0,2,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,262,4120,0,0,0
59,12,0,3,2,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,1,0,366,3650,0,0,1
50,20,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,3483,8044,0,0,1
52,25,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6831,1,1,0
43,15,0,1,2,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,114,3904,0,1,0
94,42,0,4,3,0,0,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,278,4183,0,1,0
60,15,0,0,4,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,519,2403,0,0,0
18,11,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,0,0
204,27,0,1,2,0,0,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,3353,7968,0,1,1
94,24,1,0,7,1,0,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,2975,8346,0,1,1
41,33,0,1,4,0,0,0,0,3,1,0,0,0,1,0,0,2,0,0,0,0,0,170,-1,0,1,0
19,11,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,307,1154,0,1,0
35,22,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,44,3608,0,1,0
63,26,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,51,2870,0,1,0
53,21,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,237,5972,0,1,0
75,44,0,3,4,0,0,0,0,6,2,0,0,0,0,1,0,0,0,0,0,1,0,228,5616,0,1,0
35,27,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6381,0,1,1
210,14,0,1,4,0,10,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2974,8348,0,1,1
44,13,0,2,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1384,4825,0,0,1
150,40,1,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,343,4405,0,1,0
39,22,0,1,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,161,570,0,1,0
64,15,0,1,2,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3381,0,1,0
106,20,1,4,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,433,4681,0,1,1
34,20,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1
65,16,0,0,2,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,901,7133,0,0,1
60,14,0,1,3,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,266,2290,0,1,0
25,14,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,200,896,0,1,0
39,21,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,1865,6901,0,0,0
38,15,0,1,3,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,118,3899,0,0,0
129,8,0,1,2,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,213,-2,0,1,1
52,15,0,2,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,342,9224,0,0,1
30,14,1,0,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,-1,1,1,0
33,24,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,586,7449,0,0,1
118,27,1,6,3,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,2184,7287,0,0,0
27,20,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2625,0,0,0
78,16,0,0,3,0,0,3,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,495,11192,0,0,0
35,27,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,83,2839,0,1,0
32,18,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,1,1,0,-1,0,1,0
64,39,0,3,5,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,228,5615,0,1,0
38,29,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,177,189,0,1,1
24,15,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1213,4996,0,0,1
68,15,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,127,3526,0,0,0
126,50,1,1,4,0,2,2,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,25,3993,0,1,1
41,16,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,905,7130,0,0,1
48,16,0,0,2,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,901,7134,0,0,1
29,21,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,114,3904,0,0,0
24,15,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2864,2980,0,0,1
50,17,0,0,3,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1703,7427,0,0,1
126,50,1,1,4,0,2,2,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,25,3992,0,1,0
39,11,0,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,263,8627,0,0,1
102,15,1,1,1,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,145,2047,0,1,0
31,23,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,496,2425,0,0,0
86,22,1,1,3,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5826,0,1,0
78,16,0,4,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,507,6068,0,0,1
29,20,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3477,0,0,1
33,12,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,1261,8965,0,0,0
27,12,0,1,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,723,7,0,1,0
24,15,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,1
39,20,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,479,6096,0,0,1
28,21,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1767,5903,0,0,0
102,24,1,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,217,5627,0,1,0
43,18,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,229,4153,0,0,0
27,19,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,349,4764,0,0,0
101,17,0,9,2,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,117,9744,0,0,0
60,28,0,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,124,3163,0,0,0
38,13,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,0,0
19,10,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,834,2088,0,1,1
137,15,0,0,3,0,0,1,34,4,1,0,0,0,0,0,0,0,0,1,0,0,0,220,4162,0,0,1
